id,mRNA_NT_1,mRNA_NT_2,mRNA_AA_1,mRNA_AA_2
Ppia,15,4,3,7
Cplane1,13,27,14,32
Chd3,15,5,6,9
Kmt2d,15,5,7,16
Bag6,15,3,4,16
Trrap,13,3,5,12
Wee2,13,30,9,19
Hsph1,18,8,5,11
Ep400,13,4,4,7
Ddx3x,16,2,3,9
Fam43a,13,23,8,24
Rps27a,15,4,9,6
Ltbp3,15,4,2,10
Pkhd1l1,12,6,6,9
Prim2,12,25,13,38
Polr2a,12,2,5,17
Zfp654,13,5,4,16
Sec31a,13,1,3,5
Ddx23,13,5,1,5
Larp1,24,2,5,12
Ptprf,14,8,6,15
Rplp1,13,3,4,22
Nckap1,12,2,5,2
Axl,17,4,2,15
Rpl22,13,3,4,13
Zcchc2,15,6,9,10
Shroom3,12,6,3,9
Pglyrp4,12,23,18,32
Rpl9,12,4,1,10
Ptpn14,17,3,6,10
Nkx2-2,12,1,3,5
Ganab,13,1,4,7
Ints1,12,2,3,1
Akap13,12,4,7,4
Ptpn13,13,2,3,13
Ccdc162,12,9,14,7
Calu,22,8,9,8
Cct8,12,1,5,3
Wbp11,12,4,10,8
Ski,17,2,4,6
Hspa9,13,5,8,25
Vcp,12,5,6,6
Lamb1,15,3,9,14
Atg101,13,10,10,17
Lcmt2,11,5,19,9
Anxa3,14,1,3,4
Nme9,11,10,24,20
Dbr1,11,5,20,16
Lgals1,12,2,6,6
mt-Nd1,11,3,4,4
Ptma,18,4,5,19
Cux1,14,5,5,12
Thbs1,16,5,13,18
Herc2,11,4,4,5
Rpn2,12,2,9,4
Prpf6,11,3,2,6
Ddx21,14,1,6,6
Atf4,13,4,4,13
Mdh2,12,4,4,11
Phgdh,11,1,6,12
Nup188,11,3,5,3
Rpl11,11,1,5,11
Hyou1,11,7,2,8
Baz1b,13,2,3,10
Safb,11,2,2,7
Myrfl,11,3,20,24
Lca5l,12,12,28,10
Tulp4,15,4,7,7
Arhgdia,16,5,2,7
Bub1b,12,1,1,5
Canx,14,4,7,12
Cdc42bpa,14,1,7,10
Eif3d,11,2,1,3
Ptgis,10,2,3,14
Clec2g,10,10,12,16
Zfp469,11,3,4,1
Timp2,19,5,6,10
Hcfc1,14,5,4,10
Ankrd17,13,5,8,7
Pcbp1,11,4,1,7
Itgav,12,6,4,12
Atp5f1a,12,3,4,17
Rtn4,12,1,4,3
Cp,10,1,6,4
Med17,10,7,28,17
Dnmt1,12,2,6,7
Ptpn11,15,2,3,13
Setx,12,2,3,2
Rps24,13,2,9,15
Smarcc1,16,3,2,6
Dok3,10,14,33,20
Rpl7,10,1,4,10
Fbxw8,14,1,2,9
Ccdc88c,10,8,8,8
Tagln,13,1,2,5
Utp20,10,6,2,4
Arid1a,10,2,1,6
Mia3,10,1,1,5
Rab7b,10,8,25,22
Map4k4,11,3,8,12
Sart1,10,1,3,3
Anapc1,12,4,8,8
Pole,15,5,18,7
Amer1,10,9,16,7
Hnrnpk,11,3,8,13
Lmnb1,11,2,2,6
Snrnp70,14,4,2,5
Nudc,14,2,3,4
Naca,11,1,2,15
Mcm7,11,1,1,5
Rtf1,11,1,8,13
Adamts1,11,1,8,7
Hnrnpa0,13,4,7,6
Fus,12,1,7,6
Acly,11,3,4,11
Cnot1,47,2,8,17
Hspd1,12,5,3,9
Nars1,10,1,8,17
Ndst1,12,8,6,10
Phldb2,10,3,7,14
Mocs1,10,2,26,15
Aldoa,10,3,3,11
Gcc1,10,4,13,23
Itpr1,9,1,7,4
Sirpb1c,9,6,14,8
Gaa,12,1,3,7
Snapc4,9,8,7,7
Ap3d1,10,3,3,6
Rpl35a,10,2,6,14
Mast4,9,2,2,4
Brd4,15,8,15,26
Cic,9,2,8,17
Ttbk2,9,1,6,5
Kdm2b,9,5,9,8
Pde7a,11,4,7,6
Sf3b1,9,2,5,2
Nisch,11,3,2,15
Pcolce,10,2,2,2
Fip1l1,11,1,2,1
Upk3b,23,7,5,13
Dnaja1,11,2,1,6
Ttf2,9,5,11,11
Zc3h18,9,4,2,1
Wdr46,9,5,2,3
Gtf2ird1,10,2,5,4
Nop56,10,1,1,3
Ftsj3,10,12,4,13
Uso1,9,4,10,7
Ccdc121rt3,9,1,2,4
Sf3b2,11,5,5,12
Smtn,11,2,2,8
Tagln2,11,2,3,3
Nid2,9,3,3,9
Sema3d,9,3,8,2
Loxl2,10,3,2,5
Rnf40,9,1,2,1
Ccn1,11,1,8,17
Nap1l1,10,3,2,9
Mki67,10,9,2,7
Parp1,10,7,3,6
Katnb1,11,4,13,24
Tet3,16,3,14,9
Abcf2,9,3,4,9
Pitrm1,9,5,9,14
Rps5,11,3,4,11
Ybx1,10,3,5,10
Cenpe,9,3,2,2
Hip1,11,1,3,6
Psmd3,14,2,1,3
Golga2,11,3,3,11
Morf4l1,8,2,2,2
Tenm3,8,3,10,6
Pdcd11,8,3,5,8
Drosha,8,2,2,2
Adcy6,13,1,3,3
mt-Nd5,8,2,6,8
Ddr1,11,4,3,8
Ncapd2,8,2,3,12
Arl6ip4,8,2,6,9
Marcks,12,1,1,4
Ttc7b,8,7,11,17
Lamc1,11,5,5,21
Tubb4b,8,2,1,3
Ipo5,10,2,5,2
Golga4,9,2,3,6
Raly,10,1,2,11
Caprin1,15,5,5,6
Rpl37a,9,1,4,9
Gpat3,8,11,27,13
Casc3,8,13,22,19
Brd2,10,5,6,12
Ssrp1,10,6,7,15
Rbm28,9,1,3,2
Scrib,8,4,6,7
Rps20,8,3,9,7
Eif4h,16,3,10,14
Vgf,8,6,14,15
Ipo4,8,2,1,5
Tpm2,10,2,1,5
Baz2b,9,12,7,14
Abcc5,8,18,22,29
Pcdh18,8,2,5,12
Ptk7,8,2,2,5
Pdia3,9,2,4,8
Secisbp2l,9,2,5,8
Sdf4,12,2,4,3
Fndc3b,8,3,5,1
Pcbp2,8,2,2,11
Wwc2,10,2,1,8
Ddx5,13,9,13,18
Inppl1,10,5,5,14
Mtmr9,9,3,3,5
Smc3,8,5,4,5
Fryl,10,5,2,4
Map1b,10,2,9,8
Clip1,21,6,2,9
Notch2,12,2,9,8
4930544D05Rik,8,5,8,9
Odf2,9,5,9,11
Muc5ac,8,8,10,13
Pde4dip,8,5,2,4
Ybx3,11,3,2,7
Tbc1d20,8,1,13,3
Cox4i1,8,1,1,7
Mdn1,20,13,36,16
Gls,8,1,1,1
Pou3f3,9,5,14,10
Zswim8,8,4,4,7
Tcf25,12,5,2,9
Ncor1,10,3,5,8
Sltm,7,5,8,7
Nme1,8,2,2,4
mt-Nd2,7,1,3,4
Kdm1a,7,7,15,9
Ccdc137,8,1,2,4
Hmmr,7,1,1,3
Sirt7,7,1,1,7
Tardbp,11,1,3,2
Incenp,8,1,3,6
Ndel1,9,3,17,3
Snap91,9,9,17,12
Pprc1,7,1,1,2
Bod1l,7,7,4,5
Pfn1,10,2,5,7
Kif20b,7,1,1,1
C1ql3,7,7,4,5
Pradc1,7,4,17,6
Cst3,9,1,2,5
Rpl38,10,3,3,10
Fam171a1,7,2,4,5
Cdh7,7,15,8,14
Ddx17,13,2,3,14
Bmpr2,12,3,4,10
Mapk3,7,5,10,9
Nemp1,7,7,6,6
Cd4,7,1,6,2
Tent4a,7,3,6,10
Aars1,7,5,10,25
Dnajc30,7,8,9,10
Nectin2,8,1,4,2
Med13,11,1,15,6
Flii,7,7,4,4
Septin11,10,2,5,5
Ranbp2,7,5,4,7
Myo9b,8,1,1,2
Amotl1,9,2,6,9
Sardh,8,2,1,2
H3f3b,11,4,2,5
Lamp1,12,3,4,14
Fkbp10,8,1,1,3
Nup214,7,2,7,2
Nherf1,9,3,2,8
Grb10,12,1,3,19
Tmpo,12,4,1,3
Dido1,9,1,1,4
Wdfy3,11,9,1,8
Anxa2,7,5,1,8
Sez6l,7,1,2,3
Ppp2r1a,7,4,3,7
Pkd1,7,2,3,6
Dbn1,7,1,2,2
Arel1,8,11,40,9
Socs1,7,3,8,4
Foxc1,8,5,10,4
St13,9,3,5,6
Ptprs,9,5,8,16
Bphl,7,14,24,16
Rpl27,7,2,5,20
Cit,7,2,2,6
Ccdc7a,7,4,15,9
Ccdc87,7,2,2,3
Acin1,7,1,3,5
Kif5b,13,2,7,9
Capn2,9,4,1,3
Spen,7,2,6,9
Phf3,7,1,1,9
Rps25,8,2,3,3
Adam33,7,2,9,3
Dis3,7,2,2,2
Puf60,10,5,4,8
Glg1,9,4,6,7
Arhgef17,9,1,3,6
Rere,10,6,5,19
Srebf2,8,5,7,8
Actr3,9,1,2,9
Xpo1,9,1,2,5
Plxna1,8,5,2,16
Agpat3,6,2,4,4
Ash1l,6,1,6,4
Lox,15,5,11,13
Ptbp1,15,1,8,12
Ckap5,6,1,1,6
Csf1,8,2,8,8
Mrpl12,6,1,2,1
Metap2,8,2,3,3
Hypk,6,1,2,3
Rapgef2,7,1,3,4
Cramp1,7,6,6,15
Eif3l,7,1,1,2
Iqgap1,9,5,2,15
Usp9x,11,7,14,16
Pdia6,7,1,4,3
Myo1d,9,1,5,8
Ipp,6,4,5,2
Cyp26b1,6,5,8,9
Wdr90,6,3,2,2
Ppp1ca,9,1,4,8
Brwd1,6,3,17,18
Tpo,6,8,18,11
Copa,6,1,4,6
Or5al6,6,7,9,12
Myl6,9,1,4,6
Ndrg4,6,10,5,9
Acta2,6,3,4,6
Sf1,6,2,6,10
Smpd3,12,4,2,13
Trp53bp2,6,2,4,3
Arhgap23,7,5,6,15
Psmb3,6,3,2,6
Igf2bp1,12,2,6,3
Slit3,12,3,3,10
Map1a,6,1,3,2
Sdad1,6,1,4,2
Vav1,6,14,15,16
Gfm1,8,2,16,7
Rpn1,9,2,2,8
Pbrm1,8,5,1,6
Fubp1,8,1,1,3
Itpr3,7,2,3,10
Ctrb1,6,10,9,34
Efcab3,6,3,9,7
Zfp113,6,5,13,11
Fat3,7,4,3,5
Nid1,7,2,4,7
Arfgef2,6,1,2,7
Aspscr1,6,3,2,3
Rbm39,7,2,4,3
Rps4x,7,3,2,6
Dab2,10,1,2,3
Scd2,16,10,11,6
Xrn2,6,2,5,2
Supt16,8,1,1,4
Ruvbl2,6,1,4,5
Suds3,6,2,1,2
Sars1,6,3,6,15
Glyr1,9,1,4,4
Dhx8,6,1,1,2
Mtcl2,6,3,7,7
Col4a5,7,2,1,7
Gbf1,7,2,5,6
Igf2r,6,1,3,7
Cct4,6,1,3,3
Cenpf,7,5,2,6
Vsig8,6,1,2,3
Sh3pxd2b,6,4,11,10
Nup62,6,3,7,9
Phb2,12,2,2,5
U2af2,6,5,4,8
Emid1,6,3,7,6
Nbea,9,2,6,5
Pgam1,15,2,6,7
Tjp1,6,7,3,4
Myo1a,6,3,3,5
Rps16,6,1,2,5
Dhx38,6,1,1,5
Cand1,7,2,2,6
Kmt2a,6,3,7,11
Farp1,9,1,5,14
Zfp524,6,2,5,13
mt-Nd3,6,1,1,2
Ddx24,6,1,3,5
Ltbp1,9,1,3,6
Fgl1,6,1,10,1
Ly75,6,1,1,2
Rai14,10,3,9,6
Rpl14,6,3,3,13
Fnip2,8,3,3,4
Actn4,9,3,3,7
Khsrp,8,1,3,6
Zfp282,5,2,1,10
Tsc22d2,8,1,4,8
Slx4,5,6,2,4
Zfp236,7,2,12,9
Pla2g4f,5,2,2,3
Cttn,5,2,3,5
Ehd1,6,3,2,3
Ncoa4,5,2,3,3
Tgs1,5,4,4,12
Prep,7,3,3,3
Ilf3,5,2,3,4
Anxa1,5,2,4,9
Smarca2,5,4,1,5
Galk1,5,1,1,2
Chd9,5,4,5,6
Espl1,5,1,1,1
Stat6,5,2,2,4
Anapc4,5,4,3,6
Rpl18,5,2,6,12
Tln2,5,5,13,7
Psmb4,5,4,2,1
Nuak1,7,1,5,2
Tnfrsf21,5,1,2,1
Sacs,284,228,288,574
Adcy1,6,5,15,11
Sh3pxd2a,7,3,3,6
Asap1,5,4,3,1
Prpf19,9,2,5,2
Nufip2,30,22,33,40
Usp43,5,5,2,4
Dscam,6,5,9,6
Ppl,5,2,4,1
Rpl10a,19,4,8,14
Tnrc6a,6,2,1,2
Prr14l,8,3,8,5
Dctn1,5,3,4,2
Pum3,8,1,3,2
Sqstm1,10,4,7,15
Ctsl,7,3,4,8
Usp5,5,1,3,2
Psme4,5,1,1,4
Ctnna1,8,3,6,13
Phldb1,8,2,2,6
Hnrnph1,6,1,2,3
Rps15,5,1,2,8
Arglu1,7,1,1,1
Pcsk5,6,2,5,4
Nfic,11,4,1,7
Papola,7,1,1,3
Trim47,5,7,10,18
Plekhh2,6,2,3,2
Col6a2,6,3,4,3
Cdh3,8,3,3,1
Aco2,5,1,4,3
Hnrnpd,6,2,2,10
Fv1,5,4,3,3
Abcc1,6,1,4,11
Inhbb,7,1,4,2
Slc25a4,7,2,1,4
Yars1,5,2,2,4
Pdia4,5,1,3,4
Slc4a1ap,5,1,1,1
Hnrnpul2,7,1,4,7
Tnrc6b,5,2,7,6
Kif14,5,3,12,13
Cdc37,6,1,1,6
Strap,6,3,2,4
Gart,5,3,1,1
Prpf18,5,3,3,6
Igsf10,5,2,15,7
Dgkd,5,2,1,1
Chd8,5,5,6,3
Helz,5,3,1,2
Srrm1,5,1,2,5
Trpc4ap,5,2,5,8
Rbbp4,5,1,1,3
Aff4,11,3,9,14
Abr,8,4,2,1
Nipbl,5,1,1,5
Plcb3,5,4,7,5
Sgpp1,5,2,2,3
Brd1,5,2,1,6
Afg2a,5,1,3,5
Flt1,5,2,1,8
Lrpprc,5,2,7,9
Myo10,5,2,7,4
Polr2b,5,1,1,3
Thrap3,7,4,5,4
Cul7,6,1,3,4
Lrp6,7,2,2,3
Eno1,6,3,6,10
Pdcd6ip,5,1,2,8
Robo1,4,4,1,6
Stt3b,5,3,4,10
Dennd5a,4,1,3,3
Uqcrc1,4,1,4,4
Abl2,6,2,5,11
Fam120a,4,4,6,7
Shb,4,1,2,4
Kmt5a,7,2,5,4
Mettl4,4,6,4,5
Zzz3,5,5,1,5
Matr3,5,1,1,3
Slc17a9,4,8,9,14
Exoc2,4,5,2,7
Smc4,4,2,3,4
Specc1,5,2,1,6
Afm,4,9,12,10
Btaf1,4,2,1,7
Gnl1,4,2,1,2
Nup155,5,3,3,5
Hipk2,10,2,1,3
G3bp2,5,2,9,3
Pds5a,5,2,3,3
Cdh1,4,3,9,4
Col6a3,5,4,7,3
Thada,4,1,2,7
Rmdn3,5,1,2,2
Ascc2,4,5,9,3
Kif20a,4,2,2,1
Smg7,13,26,17,28
Wdr12,6,1,1,3
Fam193a,4,3,1,4
Gatad2a,5,2,1,5
Hmcn2,4,1,10,5
Slc38a1,11,3,5,5
Zc3h4,5,2,1,5
Septin10,4,5,3,2
Cyc1,5,2,1,2
Vps13a,4,2,2,4
Prkcsh,6,2,1,6
Palld,8,1,1,2
Tnpo1,6,3,2,9
Prmt6,4,3,10,3
Srcap,4,1,2,4
Pdzrn3,5,1,2,6
Stk39,4,1,6,4
Scyl1,4,4,2,3
Bcr,6,2,1,6
Ago2,7,2,6,4
Akap9,4,2,1,3
Atad2,5,1,5,6
Rgl1,4,2,9,4
Sod1,4,2,2,10
Ifrd1,4,1,1,2
Noc2l,4,1,4,4
Dnm2,4,2,4,4
Eps8,6,1,2,4
Cabin1,5,3,1,4
Plekhg3,5,1,2,3
Oxct1,6,3,3,8
Epha2,7,3,9,10
Sik3,5,1,2,3
Rab11fip3,5,2,2,4
Kif24,4,8,23,17
Smarcc2,6,2,2,1
Ctdp1,4,1,3,3
Ckap2l,5,2,1,4
Smc5,4,1,1,2
Usp34,4,1,2,3
Lrrc59,11,4,5,8
Rps26,5,4,2,9
Arhgap39,4,16,11,12
Arhgap21,4,1,1,4
Col16a1,4,3,7,8
Wsb2,9,1,2,2
Ect2,5,1,2,5
Isyna1,4,1,4,8
Map7d1,4,3,3,5
Plekhg4,4,10,16,29
Sdc4,8,1,7,14
Golga3,6,1,4,4
Zfp84,4,9,13,8
Rbm33,7,1,18,11
Hectd4,5,4,2,3
Golim4,8,1,4,2
Tpm4,5,2,6,5
Fgd6,4,2,4,11
Dazap1,4,2,1,5
Immt,4,3,3,3
Celsr1,4,2,2,3
Rps19,4,1,2,4
Clip2,4,1,6,7
Coro1c,4,4,3,5
Ywhab,10,2,5,5
Bnc1,5,3,4,1
Med1,5,4,6,6
Sec16a,5,3,4,6
Kars1,5,1,2,3
Hmgn1,13,5,4,12
Exosc4,5,5,2,6
Ktn1,4,1,1,6
Zfhx3,4,2,8,9
Dock5,6,1,4,9
Pcnt,4,3,5,3
Odc1,4,3,5,4
Setd1a,4,1,2,5
Dhx15,5,2,2,3
Nup88,4,1,2,2
Morc2a,6,3,3,3
Supt5,4,2,4,7
Dmxl2,4,2,2,3
Basp1,7,3,2,5
Acsl5,5,1,1,1
Alms1,4,1,3,2
Csnk1g2,6,1,3,2
Wwc1,5,2,2,6
Maml1,6,1,4,3
Nusap1,4,4,3,1
Card6,4,5,15,2
Cul4a,5,2,1,2
Syncrip,11,3,5,9
Foxk2,6,2,2,2
Polm,5,3,7,3
Axin1,4,1,2,9
Dnajc10,4,1,2,4
Mrps30,4,8,9,3
Rbms1,12,2,9,11
Ints13,4,1,1,2
Clint1,7,2,3,9
Mrc2,4,2,1,5
Tasor2,4,5,5,5
Ccm2,5,1,2,4
Syne1,3,4,5,4
Atp13a1,3,1,1,3
Pdxdc1,6,2,2,3
Maged1,4,2,2,4
Arid4b,3,2,3,4
Sox4,5,2,6,14
Zfp609,7,1,4,3
Eif6,6,2,4,1
Cntln,4,1,2,4
Zfr,4,6,2,5
Snx12,4,2,1,4
Gpr162,3,1,5,2
Cbfb,3,1,2,2
Klhl2,4,9,11,8
Tatdn2,4,1,2,10
Cgn,3,2,1,3
2900026A02Rik,7,2,3,5
Abca1,4,2,4,7
Eif2s2,5,6,2,9
Ing1,3,1,1,3
Timp3,35,10,6,25
Pcdh17,3,5,6,17
Srek1,5,2,5,4
Kif7,3,1,1,1
Aldh18a1,3,6,10,20
Psap,3,1,1,3
Ndufs2,3,3,5,5
Dzip1l,5,2,3,7
Rest,5,1,5,8
Gli3,4,1,4,2
Riok3,3,1,1,1
Aff1,4,2,3,15
Raph1,13,11,8,11
Sbno2,5,1,3,5
Sh3rf3,3,3,2,3
Pcna,7,1,1,4
Upf3a,3,2,2,3
Dgkz,5,1,1,1
Cdk4,4,1,6,11
Arnt,3,3,2,3
Setd5,13,5,11,7
Recql5,7,5,3,11
Tmem151a,7,3,3,4
Ppig,5,3,3,4
Gnb2,7,4,3,2
Ergic1,5,2,1,4
Scarf2,5,1,2,3
Chaf1a,4,1,2,2
Kalrn,4,2,4,3
Hdac3,3,1,2,2
Hipk3,4,3,5,6
Heg1,11,7,8,5
Srf,3,3,2,2
Atp13a3,30,26,60,99
Cherp,3,2,5,8
Naa50,11,4,5,4
Mcm10,4,2,2,2
Niban1,4,2,3,3
Ice1,4,5,1,5
Ep300,5,2,1,4
Mideas,3,3,6,5
Prkdc,3,1,1,1
Crybg1,3,3,4,1
Ints5,3,1,2,1
Rhobtb3,7,2,4,7
Adamts5,10,2,5,10
Mtch1,4,2,2,1
Ecpas,3,3,4,3
Tsc2,3,1,2,2
